project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit
aio-libs~aioredis,20140525,5,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140526,1,0,0,0,6,0,0,0,1
aio-libs~aioredis,20140527,5,1,2,0,1,2,1,0,3
aio-libs~aioredis,20140528,6,0,9,0,4,2,0,0,0
aio-libs~aioredis,20140529,4,0,5,0,0,0,0,0,0
aio-libs~aioredis,20140530,6,0,4,0,0,2,0,0,0
aio-libs~aioredis,20140531,1,0,1,0,0,0,0,0,0
aio-libs~aioredis,20140602,2,0,1,0,1,1,0,0,0
aio-libs~aioredis,20140603,2,0,1,0,0,0,0,0,0
aio-libs~aioredis,20140606,5,0,0,2,1,0,0,0,0
aio-libs~aioredis,20140611,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140612,3,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140613,2,0,1,0,0,2,0,0,0
aio-libs~aioredis,20140615,3,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140616,5,0,0,0,0,0,0,0,6
aio-libs~aioredis,20140617,3,0,1,0,1,0,1,2,4
aio-libs~aioredis,20140618,3,1,1,0,1,1,1,0,2
aio-libs~aioredis,20140619,3,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140620,1,0,2,0,2,0,0,0,2
aio-libs~aioredis,20140621,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20140622,0,0,0,0,0,0,0,0,2
aio-libs~aioredis,20140623,0,0,1,0,0,0,0,0,2
aio-libs~aioredis,20140624,3,0,5,0,1,1,0,0,3
aio-libs~aioredis,20140630,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20140702,2,1,2,0,1,2,1,0,1
aio-libs~aioredis,20140703,8,1,1,0,1,1,1,0,3
aio-libs~aioredis,20140704,11,2,1,0,2,2,1,0,1
aio-libs~aioredis,20140705,3,0,0,0,0,0,0,0,1
aio-libs~aioredis,20140706,1,0,2,0,1,0,1,0,1
aio-libs~aioredis,20140707,6,0,2,0,0,0,0,0,1
aio-libs~aioredis,20140708,3,1,0,0,0,1,0,3,0
aio-libs~aioredis,20140709,1,0,0,0,1,1,1,0,1
aio-libs~aioredis,20140710,4,0,3,0,2,2,0,0,2
aio-libs~aioredis,20140712,2,0,0,0,1,0,1,0,2
aio-libs~aioredis,20140713,1,0,1,0,0,0,0,0,1
aio-libs~aioredis,20140714,1,1,2,0,0,1,0,0,0
aio-libs~aioredis,20140715,4,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140716,3,0,1,0,0,0,0,1,3
aio-libs~aioredis,20140717,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20140718,10,2,0,0,1,2,1,0,1
aio-libs~aioredis,20140719,2,1,1,0,0,1,0,0,1
aio-libs~aioredis,20140720,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20140721,6,1,4,0,2,1,1,0,2
aio-libs~aioredis,20140723,0,0,0,0,1,0,1,0,0
aio-libs~aioredis,20140724,2,1,2,0,1,2,1,0,1
aio-libs~aioredis,20140725,2,1,2,0,0,1,0,0,1
aio-libs~aioredis,20140726,2,0,0,0,1,0,1,0,2
aio-libs~aioredis,20140728,5,1,1,0,1,1,1,0,3
aio-libs~aioredis,20140729,3,1,2,0,1,1,1,0,2
aio-libs~aioredis,20140730,1,0,1,0,0,0,0,0,1
aio-libs~aioredis,20140731,4,1,0,0,0,2,0,0,0
aio-libs~aioredis,20140801,5,0,0,0,0,0,0,0,5
aio-libs~aioredis,20140804,5,1,2,0,3,2,2,0,3
aio-libs~aioredis,20140805,2,1,1,0,0,1,0,0,0
aio-libs~aioredis,20140806,2,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140807,2,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140808,3,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140811,7,0,0,0,2,0,0,0,7
aio-libs~aioredis,20140812,2,0,1,0,2,1,1,0,2
aio-libs~aioredis,20140813,8,1,1,0,0,2,0,0,3
aio-libs~aioredis,20140820,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140822,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20140828,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20140829,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20140922,7,2,0,0,3,2,2,0,4
aio-libs~aioredis,20140923,1,0,1,0,0,1,0,0,0
aio-libs~aioredis,20140924,0,0,0,0,1,0,1,0,3
aio-libs~aioredis,20140925,0,0,7,0,0,0,0,0,2
aio-libs~aioredis,20140926,2,0,2,0,0,0,0,2,1
aio-libs~aioredis,20140928,0,0,0,0,0,1,0,0,0
aio-libs~aioredis,20140930,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20141001,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20141005,3,0,0,0,1,0,1,0,3
aio-libs~aioredis,20141006,0,0,3,0,0,0,0,2,0
aio-libs~aioredis,20141007,2,0,10,0,0,0,0,2,2
aio-libs~aioredis,20141008,2,1,1,0,0,1,0,0,0
aio-libs~aioredis,20141009,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20141030,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20141105,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20141106,0,0,0,0,0,0,0,2,0
aio-libs~aioredis,20141110,4,2,4,0,1,2,1,5,2
aio-libs~aioredis,20141119,0,0,1,0,1,0,0,0,0
aio-libs~aioredis,20141204,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20141205,1,1,0,0,0,1,0,0,0
aio-libs~aioredis,20141209,3,0,1,0,0,1,0,0,0
aio-libs~aioredis,20141212,0,0,3,0,0,0,0,0,0
aio-libs~aioredis,20141215,1,0,1,0,1,0,1,0,1
aio-libs~aioredis,20141216,5,1,0,0,0,1,0,0,0
aio-libs~aioredis,20141217,0,0,2,1,0,0,0,0,0
aio-libs~aioredis,20150222,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20150223,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150224,2,0,3,0,1,0,1,0,2
aio-libs~aioredis,20150225,1,1,1,0,0,1,0,0,0
aio-libs~aioredis,20150305,0,0,5,0,0,1,0,0,0
aio-libs~aioredis,20150316,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150323,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20150325,2,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150329,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20150330,1,0,0,0,1,0,0,0,1
aio-libs~aioredis,20150331,0,0,5,0,0,0,0,0,0
aio-libs~aioredis,20150403,0,0,3,0,1,0,0,0,0
aio-libs~aioredis,20150406,5,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150408,0,0,11,0,0,0,1,4,2
aio-libs~aioredis,20150409,0,0,8,0,0,1,0,0,0
aio-libs~aioredis,20150415,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150417,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150420,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20150423,0,0,2,0,1,0,0,0,0
aio-libs~aioredis,20150428,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20150429,2,1,2,0,1,1,1,0,1
aio-libs~aioredis,20150430,1,0,2,0,1,0,1,0,1
aio-libs~aioredis,20150501,1,1,1,0,0,1,0,0,0
aio-libs~aioredis,20150514,2,0,2,0,1,0,1,0,2
aio-libs~aioredis,20150520,1,0,1,0,0,0,0,0,1
aio-libs~aioredis,20150522,1,0,2,0,0,0,0,0,1
aio-libs~aioredis,20150523,0,0,0,0,0,1,0,0,0
aio-libs~aioredis,20150524,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150525,1,0,2,0,0,0,0,0,1
aio-libs~aioredis,20150602,4,0,4,0,0,0,0,0,4
aio-libs~aioredis,20150603,7,1,2,0,1,2,0,0,1
aio-libs~aioredis,20150604,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150616,4,1,0,0,1,2,1,0,1
aio-libs~aioredis,20150702,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20150703,1,0,1,0,0,1,0,0,0
aio-libs~aioredis,20150706,3,1,1,0,2,1,1,0,0
aio-libs~aioredis,20150707,12,1,1,0,1,2,1,0,6
aio-libs~aioredis,20150718,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150720,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20150721,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20150722,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150723,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20150728,6,2,4,0,5,4,4,0,6
aio-libs~aioredis,20150729,0,0,3,0,0,1,0,0,1
aio-libs~aioredis,20150731,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150803,3,1,1,0,2,1,2,0,1
aio-libs~aioredis,20150804,2,1,2,0,0,2,0,0,0
aio-libs~aioredis,20150805,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150814,2,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150817,0,0,0,0,0,1,0,0,0
