project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit
nilearn~nilearn,20110109,6,0,0,0,0,0,0,0,0
nilearn~nilearn,20110111,4,0,0,0,2,0,1,0,2
nilearn~nilearn,20110112,0,0,1,0,0,1,0,0,0
nilearn~nilearn,20110114,2,0,1,0,0,0,0,0,0
nilearn~nilearn,20110115,1,0,0,0,0,1,0,0,0
nilearn~nilearn,20110712,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20110718,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20110720,2,0,0,0,0,0,0,0,0
nilearn~nilearn,20110721,2,0,0,0,0,0,0,0,0
nilearn~nilearn,20110810,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20110811,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20110812,10,0,0,0,0,0,0,0,0
nilearn~nilearn,20110822,5,0,0,0,0,0,0,0,0
nilearn~nilearn,20110829,2,0,0,0,0,0,0,0,0
nilearn~nilearn,20110830,3,0,0,0,0,0,0,0,0
nilearn~nilearn,20110831,7,0,0,0,0,0,0,0,0
nilearn~nilearn,20110901,5,0,0,0,0,0,0,0,0
nilearn~nilearn,20110902,12,0,0,0,0,0,0,0,0
nilearn~nilearn,20110910,4,0,0,0,0,0,0,0,0
nilearn~nilearn,20110911,3,0,0,0,0,0,0,0,0
nilearn~nilearn,20110912,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20110913,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20110922,5,0,0,0,0,0,0,0,0
nilearn~nilearn,20110923,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20111004,1,0,0,0,1,0,1,0,2
nilearn~nilearn,20111006,1,0,0,0,0,0,0,0,2
nilearn~nilearn,20111007,0,0,0,0,0,0,0,0,1
nilearn~nilearn,20111026,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20111106,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20111109,1,0,0,0,0,0,0,0,0
nilearn~nilearn,20120416,3,0,0,0,0,0,0,1,3
nilearn~nilearn,20120417,2,0,0,0,0,0,0,1,2
nilearn~nilearn,20120418,3,0,0,0,0,0,0,0,3
nilearn~nilearn,20120419,1,0,0,0,0,0,0,0,1
nilearn~nilearn,20120420,2,0,0,0,0,0,0,6,2
nilearn~nilearn,20120423,1,0,0,0,0,0,0,0,1
nilearn~nilearn,20120424,2,0,0,0,0,0,0,1,2
nilearn~nilearn,20120425,3,0,0,0,1,0,1,0,3
nilearn~nilearn,20120503,1,0,0,0,0,0,0,0,1
nilearn~nilearn,20120504,1,0,0,0,0,0,0,0,1
nilearn~nilearn,20120511,12,0,0,0,0,0,0,0,1
nilearn~nilearn,20120512,4,1,0,0,0,1,0,0,0
