project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit
pycqa~astroid,20060426,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060505,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060509,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060522,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060527,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060614,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060731,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060813,2,0,0,0,0,0,0,0,0
pycqa~astroid,20060825,2,0,0,0,0,0,0,0,0
pycqa~astroid,20060919,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060920,2,0,0,0,0,0,0,0,0
pycqa~astroid,20060923,2,0,0,0,0,0,0,0,0
pycqa~astroid,20060924,1,0,0,0,0,0,0,0,0
pycqa~astroid,20060925,2,0,0,0,0,0,0,0,0
pycqa~astroid,20060926,2,0,0,0,0,0,0,0,0
pycqa~astroid,20061003,1,0,0,0,0,0,0,0,0
pycqa~astroid,20061106,2,0,0,0,0,0,0,0,0
pycqa~astroid,20061108,2,0,0,0,0,0,0,0,0
pycqa~astroid,20061109,1,0,0,0,0,0,0,0,0
pycqa~astroid,20061115,2,0,0,0,0,0,0,0,0
pycqa~astroid,20061121,3,0,0,0,0,0,0,0,0
pycqa~astroid,20061123,4,0,0,0,0,0,0,0,0
pycqa~astroid,20070215,2,0,0,0,0,0,0,0,0
pycqa~astroid,20070216,4,0,0,0,0,0,0,0,0
pycqa~astroid,20070218,3,0,0,0,0,0,0,0,0
pycqa~astroid,20070219,2,0,0,0,0,0,0,0,0
pycqa~astroid,20070222,3,0,0,0,0,0,0,0,0
pycqa~astroid,20070301,2,0,0,0,0,0,0,0,0
pycqa~astroid,20070302,6,0,0,0,0,0,0,0,0
pycqa~astroid,20070305,1,0,0,0,0,0,0,0,0
pycqa~astroid,20070307,3,0,0,0,0,0,0,0,0
pycqa~astroid,20070309,4,0,0,0,0,0,0,0,0
pycqa~astroid,20070412,1,0,0,0,0,0,0,0,0
pycqa~astroid,20070416,1,0,0,0,0,0,0,0,0
pycqa~astroid,20070503,1,0,0,0,0,0,0,0,0
pycqa~astroid,20070607,1,0,0,0,0,0,0,0,0
pycqa~astroid,20070713,1,0,0,0,0,0,0,0,0
pycqa~astroid,20070816,2,0,0,0,0,0,0,0,0
pycqa~astroid,20070817,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080114,3,0,0,0,0,0,0,0,0
pycqa~astroid,20080207,4,0,0,0,0,0,0,0,0
pycqa~astroid,20080214,2,0,0,0,0,0,0,0,0
pycqa~astroid,20080329,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080330,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080331,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080406,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080513,4,0,0,0,0,0,0,0,0
pycqa~astroid,20080605,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080613,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080721,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080723,3,0,0,0,0,0,0,0,0
pycqa~astroid,20080731,4,0,0,0,0,0,0,0,0
pycqa~astroid,20080805,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080820,4,0,0,0,0,0,0,0,0
pycqa~astroid,20080825,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080827,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080901,1,0,0,0,0,0,0,0,0
pycqa~astroid,20080910,2,0,0,0,0,0,0,0,0
pycqa~astroid,20081001,1,0,0,0,0,0,0,0,0
pycqa~astroid,20081119,9,0,0,0,0,0,0,0,0
pycqa~astroid,20081120,2,0,0,0,0,0,0,0,0
pycqa~astroid,20081204,2,0,0,0,0,0,0,0,0
pycqa~astroid,20090107,4,0,0,0,0,0,0,0,0
pycqa~astroid,20090108,5,0,0,0,0,0,0,0,0
pycqa~astroid,20090112,1,0,0,0,0,0,0,0,0
pycqa~astroid,20090113,3,0,0,0,0,0,0,0,0
pycqa~astroid,20090116,1,0,0,0,0,0,0,0,0
pycqa~astroid,20090121,1,0,0,0,0,0,0,0,0
pycqa~astroid,20090126,6,0,0,0,0,0,0,0,0
pycqa~astroid,20090127,7,0,0,0,0,0,0,0,0
pycqa~astroid,20090128,8,0,0,0,0,0,0,0,0
pycqa~astroid,20090202,6,0,0,0,0,0,0,0,0
pycqa~astroid,20090203,10,0,0,0,0,0,0,0,0
pycqa~astroid,20090204,7,0,0,0,0,0,0,0,0
pycqa~astroid,20090205,6,0,0,0,0,0,0,0,0
pycqa~astroid,20090209,5,0,0,0,0,0,0,0,0
pycqa~astroid,20090211,1,0,0,0,0,0,0,0,0
pycqa~astroid,20090212,4,0,0,0,0,0,0,0,0
pycqa~astroid,20090216,2,0,0,0,0,0,0,0,0
pycqa~astroid,20090217,3,0,0,0,0,0,0,0,0
pycqa~astroid,20090218,5,0,0,0,0,0,0,0,0
pycqa~astroid,20090220,4,0,0,0,0,0,0,0,0
pycqa~astroid,20090223,8,0,0,0,0,0,0,0,0
pycqa~astroid,20090224,2,0,0,0,0,0,0,0,0
pycqa~astroid,20090225,7,0,0,0,0,0,0,0,0
pycqa~astroid,20090226,9,0,0,0,0,0,0,0,0
pycqa~astroid,20090302,4,0,0,0,0,0,0,0,0
pycqa~astroid,20090303,28,0,0,0,0,0,0,0,0
pycqa~astroid,20090304,17,0,0,0,0,0,0,0,0
pycqa~astroid,20090305,4,0,0,0,0,0,0,0,0
pycqa~astroid,20090306,21,0,0,0,0,0,0,0,0
pycqa~astroid,20090309,4,0,0,0,0,0,0,0,0
pycqa~astroid,20090310,5,0,0,0,0,0,0,0,0
pycqa~astroid,20090311,4,0,0,0,0,0,0,0,0
pycqa~astroid,20090312,5,0,0,0,0,0,0,0,0
pycqa~astroid,20090313,14,0,0,0,0,0,0,0,0
pycqa~astroid,20090317,30,0,0,0,0,0,0,0,0
pycqa~astroid,20090318,35,0,0,0,0,0,0,0,0
pycqa~astroid,20090319,21,0,0,0,0,0,0,0,0
pycqa~astroid,20090323,1,0,0,0,0,0,0,0,0
pycqa~astroid,20090324,18,0,0,0,0,0,0,0,0
pycqa~astroid,20090325,7,0,0,0,0,0,0,0,0
pycqa~astroid,20090408,3,0,0,0,0,0,0,0,0
pycqa~astroid,20090625,4,0,0,0,0,0,0,0,0
pycqa~astroid,20090702,2,0,0,0,0,0,0,0,0
pycqa~astroid,20090720,2,0,0,0,0,0,0,0,0
pycqa~astroid,20090729,1,0,0,0,0,0,0,0,0
pycqa~astroid,20090730,1,0,0,0,0,0,0,0,0
pycqa~astroid,20090826,14,0,0,0,0,0,0,0,0
pycqa~astroid,20090827,8,0,0,0,0,0,0,0,0
pycqa~astroid,20090902,6,0,0,0,0,0,0,0,0
pycqa~astroid,20090903,8,0,0,0,0,0,0,0,0
pycqa~astroid,20090907,11,0,0,0,0,0,0,0,0
pycqa~astroid,20090908,1,0,0,0,0,0,0,0,0
pycqa~astroid,20090910,2,0,0,0,0,0,0,0,0
pycqa~astroid,20090914,2,0,0,0,0,0,0,0,0
pycqa~astroid,20090915,5,0,0,0,0,0,0,0,0
pycqa~astroid,20091123,2,0,0,0,0,0,0,0,0
pycqa~astroid,20091125,23,0,0,0,0,0,0,0,0
pycqa~astroid,20091126,5,0,0,0,0,0,0,0,0
pycqa~astroid,20091130,1,0,0,0,0,0,0,0,0
pycqa~astroid,20091201,5,0,0,0,0,0,0,0,0
pycqa~astroid,20091203,1,0,0,0,0,0,0,0,0
pycqa~astroid,20091207,3,0,0,0,0,0,0,0,0
pycqa~astroid,20091214,2,0,0,0,0,0,0,0,0
pycqa~astroid,20091216,1,0,0,0,0,0,0,0,0
pycqa~astroid,20091217,6,0,0,0,0,0,0,0,0
pycqa~astroid,20091218,6,0,0,0,0,0,0,0,0
pycqa~astroid,20091221,2,0,0,0,0,0,0,0,0
pycqa~astroid,20100111,4,0,0,0,0,0,0,0,0
pycqa~astroid,20100112,1,0,0,0,0,0,0,0,0
pycqa~astroid,20100113,1,0,0,0,0,0,0,0,0
pycqa~astroid,20100114,5,0,0,0,0,0,0,0,0
pycqa~astroid,20100118,2,0,0,0,0,0,0,0,0
pycqa~astroid,20100120,3,0,0,0,0,0,0,0,0
pycqa~astroid,20100121,14,0,0,0,0,0,0,0,0
pycqa~astroid,20100125,2,0,0,0,0,0,0,0,0
pycqa~astroid,20100126,7,0,0,0,0,0,0,0,0
pycqa~astroid,20100127,2,0,0,0,0,0,0,0,0
pycqa~astroid,20100128,2,0,0,0,0,0,0,0,0
pycqa~astroid,20100201,2,0,0,0,0,0,0,0,0
pycqa~astroid,20100202,9,0,0,0,0,0,0,0,0
pycqa~astroid,20100203,4,0,0,0,0,0,0,0,0
pycqa~astroid,20100211,1,0,0,0,0,0,0,0,0
pycqa~astroid,20100215,1,0,0,0,0,0,0,0,0
pycqa~astroid,20100216,4,0,0,0,0,0,0,0,0
pycqa~astroid,20100217,5,0,0,0,0,0,0,0,0
pycqa~astroid,20100218,1,0,0,0,0,0,0,0,0
pycqa~astroid,20100222,1,0,0,0,0,0,0,0,0
