project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit
idan~oauthlib,20111119,1,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120116,0,0,1,0,1,0,1,2,3
idan~oauthlib,20120117,0,0,3,0,1,1,1,0,6
idan~oauthlib,20120118,0,0,0,0,0,0,0,0,1
idan~oauthlib,20120119,0,0,0,0,0,0,0,0,2
idan~oauthlib,20120120,0,0,0,0,0,0,0,0,3
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120125,0,0,1,0,0,0,0,0,0
