Unnamed: 0,project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit,State
1,aio-libs~aioredis,20140526,1,0,0,0,6,0,0,0,1,10
2,aio-libs~aioredis,20140527,5,1,2,0,1,2,1,0,3,11
3,aio-libs~aioredis,20140528,6,0,9,0,4,2,0,0,0,11
4,aio-libs~aioredis,20140529,4,0,5,0,0,0,0,0,0,10
5,aio-libs~aioredis,20140530,6,0,4,0,0,2,0,0,0,11
8,aio-libs~aioredis,20140602,2,0,1,0,1,1,0,0,0,11
12,aio-libs~aioredis,20140606,5,0,0,2,1,0,0,0,0,5
19,aio-libs~aioredis,20140613,2,0,1,0,0,2,0,0,0,11
22,aio-libs~aioredis,20140616,5,0,0,0,0,0,0,0,6,10
23,aio-libs~aioredis,20140617,3,0,1,0,1,0,1,2,4,10
24,aio-libs~aioredis,20140618,3,1,1,0,1,1,1,0,2,11
26,aio-libs~aioredis,20140620,1,0,2,0,2,0,0,0,2,10
28,aio-libs~aioredis,20140622,0,0,0,0,0,0,0,0,2,10
29,aio-libs~aioredis,20140623,0,0,1,0,0,0,0,0,2,10
30,aio-libs~aioredis,20140624,3,0,5,0,1,1,0,0,3,11
36,aio-libs~aioredis,20140630,1,0,0,0,1,0,1,0,1,10
38,aio-libs~aioredis,20140702,2,1,2,0,1,2,1,0,1,11
39,aio-libs~aioredis,20140703,8,1,1,0,1,1,1,0,3,11
40,aio-libs~aioredis,20140704,11,2,1,0,2,2,1,0,1,11
41,aio-libs~aioredis,20140705,3,0,0,0,0,0,0,0,1,10
42,aio-libs~aioredis,20140706,1,0,2,0,1,0,1,0,1,10
43,aio-libs~aioredis,20140707,6,0,2,0,0,0,0,0,1,10
44,aio-libs~aioredis,20140708,3,1,0,0,0,1,0,3,0,5
45,aio-libs~aioredis,20140709,1,0,0,0,1,1,1,0,1,11
46,aio-libs~aioredis,20140710,4,0,3,0,2,2,0,0,2,11
48,aio-libs~aioredis,20140712,2,0,0,0,1,0,1,0,2,10
49,aio-libs~aioredis,20140713,1,0,1,0,0,0,0,0,1,10
50,aio-libs~aioredis,20140714,1,1,2,0,0,1,0,0,0,11
52,aio-libs~aioredis,20140716,3,0,1,0,0,0,0,1,3,10
53,aio-libs~aioredis,20140717,1,0,0,0,1,0,1,0,1,10
54,aio-libs~aioredis,20140718,10,2,0,0,1,2,1,0,1,11
55,aio-libs~aioredis,20140719,2,1,1,0,0,1,0,0,1,11
57,aio-libs~aioredis,20140721,6,1,4,0,2,1,1,0,2,11
59,aio-libs~aioredis,20140723,0,0,0,0,1,0,1,0,0,10
60,aio-libs~aioredis,20140724,2,1,2,0,1,2,1,0,1,11
61,aio-libs~aioredis,20140725,2,1,2,0,0,1,0,0,1,11
62,aio-libs~aioredis,20140726,2,0,0,0,1,0,1,0,2,10
64,aio-libs~aioredis,20140728,5,1,1,0,1,1,1,0,3,11
65,aio-libs~aioredis,20140729,3,1,2,0,1,1,1,0,2,11
66,aio-libs~aioredis,20140730,1,0,1,0,0,0,0,0,1,10
67,aio-libs~aioredis,20140731,4,1,0,0,0,2,0,0,0,11
68,aio-libs~aioredis,20140801,5,0,0,0,0,0,0,0,5,10
71,aio-libs~aioredis,20140804,5,1,2,0,3,2,2,0,3,11
72,aio-libs~aioredis,20140805,2,1,1,0,0,1,0,0,0,11
78,aio-libs~aioredis,20140811,7,0,0,0,2,0,0,0,7,10
79,aio-libs~aioredis,20140812,2,0,1,0,2,1,1,0,2,11
80,aio-libs~aioredis,20140813,8,1,1,0,0,2,0,0,3,11
95,aio-libs~aioredis,20140828,1,0,0,0,0,0,0,0,1,10
96,aio-libs~aioredis,20140829,1,0,0,0,0,0,0,0,1,10
120,aio-libs~aioredis,20140922,7,2,0,0,3,2,2,0,4,11
121,aio-libs~aioredis,20140923,1,0,1,0,0,1,0,0,0,11
122,aio-libs~aioredis,20140924,0,0,0,0,1,0,1,0,3,10
123,aio-libs~aioredis,20140925,0,0,7,0,0,0,0,0,2,10
124,aio-libs~aioredis,20140926,2,0,2,0,0,0,0,2,1,10
126,aio-libs~aioredis,20140928,0,0,0,0,0,1,0,0,0,11
133,aio-libs~aioredis,20141005,3,0,0,0,1,0,1,0,3,10
