Unnamed: 0,project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit,State
58,idan~oauthlib,20120116,0,0,1,0,1,0,1,2,3,10
59,idan~oauthlib,20120117,0,0,3,0,1,1,1,0,6,11
60,idan~oauthlib,20120118,0,0,0,0,0,0,0,0,1,10
61,idan~oauthlib,20120119,0,0,0,0,0,0,0,0,2,10
62,idan~oauthlib,20120120,0,0,0,0,0,0,0,0,3,10
74,idan~oauthlib,20120201,0,0,0,0,0,0,0,0,1,10
75,idan~oauthlib,20120202,0,0,1,0,0,0,0,0,1,10
83,idan~oauthlib,20120210,0,0,0,0,0,0,0,1,2,10
85,idan~oauthlib,20120212,0,0,0,0,0,0,0,0,1,10
86,idan~oauthlib,20120213,0,0,0,0,0,0,0,0,3,10
89,idan~oauthlib,20120216,0,0,0,0,0,0,0,0,1,10
90,idan~oauthlib,20120217,0,0,0,0,0,0,0,0,1,10
116,idan~oauthlib,20120314,11,0,0,0,1,0,1,0,1,10
117,idan~oauthlib,20120315,7,2,9,0,5,2,4,0,5,4
118,idan~oauthlib,20120316,5,0,4,0,4,1,4,0,6,4
120,idan~oauthlib,20120318,1,0,0,0,0,0,0,0,1,10
126,idan~oauthlib,20120324,17,5,5,0,0,6,0,3,12,2
133,idan~oauthlib,20120331,6,2,3,0,5,2,5,0,5,4
140,idan~oauthlib,20120407,9,1,1,0,0,1,0,0,1,11
144,idan~oauthlib,20120411,12,2,2,0,0,2,0,0,0,11
145,idan~oauthlib,20120412,6,0,0,0,1,0,0,0,0,10
146,idan~oauthlib,20120413,0,0,1,0,0,1,0,0,0,11
152,idan~oauthlib,20120419,5,1,7,0,2,1,2,0,15,2
156,idan~oauthlib,20120423,8,0,0,0,0,0,0,0,0,10
162,idan~oauthlib,20120429,4,1,1,0,2,1,0,0,0,11
163,idan~oauthlib,20120430,2,1,3,0,1,2,1,0,1,11
164,idan~oauthlib,20120501,9,0,1,0,4,0,1,0,1,10
165,idan~oauthlib,20120502,7,0,0,0,1,0,0,0,0,10
166,idan~oauthlib,20120503,5,0,0,0,1,0,1,0,1,10
167,idan~oauthlib,20120504,1,0,2,0,1,0,0,0,1,10
168,idan~oauthlib,20120505,0,0,1,0,1,0,1,0,0,10
169,idan~oauthlib,20120506,3,1,2,0,1,1,1,0,1,11
177,idan~oauthlib,20120514,0,0,2,0,2,0,1,0,4,10
178,idan~oauthlib,20120515,0,0,3,0,0,0,0,0,0,10
181,idan~oauthlib,20120518,0,0,2,0,0,0,0,0,3,10
184,idan~oauthlib,20120521,1,0,1,0,1,0,1,0,1,10
200,idan~oauthlib,20120606,2,0,1,0,1,0,1,0,2,10
207,idan~oauthlib,20120613,1,0,2,0,0,2,0,0,0,11
