Unnamed: 0,project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit,State
2,nilearn~nilearn,20110111,4,0,0,0,2,0,1,0,2,10
3,nilearn~nilearn,20110112,0,0,1,0,0,1,0,0,0,11
6,nilearn~nilearn,20110115,1,0,0,0,0,1,0,0,0,11
215,nilearn~nilearn,20110812,10,0,0,0,0,0,0,0,0,10
234,nilearn~nilearn,20110831,7,0,0,0,0,0,0,0,0,10
236,nilearn~nilearn,20110902,12,0,0,0,0,0,0,0,0,10
268,nilearn~nilearn,20111004,1,0,0,0,1,0,1,0,2,10
270,nilearn~nilearn,20111006,1,0,0,0,0,0,0,0,2,10
271,nilearn~nilearn,20111007,0,0,0,0,0,0,0,0,1,10
463,nilearn~nilearn,20120416,3,0,0,0,0,0,0,1,3,10
464,nilearn~nilearn,20120417,2,0,0,0,0,0,0,1,2,10
465,nilearn~nilearn,20120418,3,0,0,0,0,0,0,0,3,10
466,nilearn~nilearn,20120419,1,0,0,0,0,0,0,0,1,10
467,nilearn~nilearn,20120420,2,0,0,0,0,0,0,6,2,10
470,nilearn~nilearn,20120423,1,0,0,0,0,0,0,0,1,10
471,nilearn~nilearn,20120424,2,0,0,0,0,0,0,1,2,10
472,nilearn~nilearn,20120425,3,0,0,0,1,0,1,0,3,10
480,nilearn~nilearn,20120503,1,0,0,0,0,0,0,0,1,10
481,nilearn~nilearn,20120504,1,0,0,0,0,0,0,0,1,10
488,nilearn~nilearn,20120511,12,0,0,0,0,0,0,0,1,10
489,nilearn~nilearn,20120512,4,1,0,0,0,1,0,0,0,11
492,nilearn~nilearn,20120515,0,0,0,0,0,0,0,0,1,10
500,nilearn~nilearn,20120523,11,0,0,0,0,0,0,0,4,10
507,nilearn~nilearn,20120530,2,0,0,0,0,0,0,0,3,10
508,nilearn~nilearn,20120531,2,0,0,0,0,0,0,0,3,10
513,nilearn~nilearn,20120605,3,0,0,0,1,0,1,0,0,10
514,nilearn~nilearn,20120606,7,0,0,0,0,0,0,0,9,10
515,nilearn~nilearn,20120607,6,0,0,0,3,0,3,0,6,10
520,nilearn~nilearn,20120612,1,0,0,0,0,0,0,0,1,10
530,nilearn~nilearn,20120622,7,0,2,0,0,0,0,4,10,10
533,nilearn~nilearn,20120625,34,6,12,0,13,9,7,9,11,6
