Unnamed: 0,project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit,State
938,pycqa~astroid,20081119,9,0,0,0,0,0,0,0,0,10
1007,pycqa~astroid,20090127,7,0,0,0,0,0,0,0,0,10
1008,pycqa~astroid,20090128,8,0,0,0,0,0,0,0,0,10
1014,pycqa~astroid,20090203,10,0,0,0,0,0,0,0,0,10
1015,pycqa~astroid,20090204,7,0,0,0,0,0,0,0,0,10
1034,pycqa~astroid,20090223,8,0,0,0,0,0,0,0,0,10
1036,pycqa~astroid,20090225,7,0,0,0,0,0,0,0,0,10
1037,pycqa~astroid,20090226,9,0,0,0,0,0,0,0,0,10
1043,pycqa~astroid,20090304,17,0,0,0,0,0,0,0,0,10
1045,pycqa~astroid,20090306,21,0,0,0,0,0,0,0,0,10
1052,pycqa~astroid,20090313,14,0,0,0,0,0,0,0,0,10
1063,pycqa~astroid,20090324,18,0,0,0,0,0,0,0,0,10
1064,pycqa~astroid,20090325,7,0,0,0,0,0,0,0,0,10
1218,pycqa~astroid,20090826,14,0,0,0,0,0,0,0,0,10
1219,pycqa~astroid,20090827,8,0,0,0,0,0,0,0,0,10
1226,pycqa~astroid,20090903,8,0,0,0,0,0,0,0,0,10
1230,pycqa~astroid,20090907,11,0,0,0,0,0,0,0,0,10
1366,pycqa~astroid,20100121,14,0,0,0,0,0,0,0,0,10
1371,pycqa~astroid,20100126,7,0,0,0,0,0,0,0,0,10
1378,pycqa~astroid,20100202,9,0,0,0,0,0,0,0,0,10
1400,pycqa~astroid,20100224,11,0,0,0,0,0,0,0,0,10
1421,pycqa~astroid,20100317,8,0,0,0,0,0,0,0,0,10
1426,pycqa~astroid,20100322,7,0,0,0,0,0,0,0,0,10
1476,pycqa~astroid,20100511,9,0,0,0,0,0,0,0,0,10
1625,pycqa~astroid,20101007,11,0,0,0,0,0,0,0,0,10
1629,pycqa~astroid,20101011,10,0,0,0,0,0,0,0,0,10
1630,pycqa~astroid,20101012,6,0,0,0,0,0,0,0,0,10
1631,pycqa~astroid,20101013,13,0,0,0,0,0,0,0,0,10
1646,pycqa~astroid,20101028,9,0,0,0,0,0,0,0,0,10
1680,pycqa~astroid,20101201,9,0,0,0,0,0,0,0,0,10
1681,pycqa~astroid,20101202,7,0,0,0,0,0,0,0,0,10
1721,pycqa~astroid,20110111,9,0,0,0,0,0,0,0,0,10
1899,pycqa~astroid,20110708,8,0,0,0,0,0,0,0,0,10
2052,pycqa~astroid,20111208,8,0,0,0,0,0,0,0,0,10
2528,pycqa~astroid,20130328,7,0,0,0,0,0,0,0,0,10
