
Value,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Start Probs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31776514643794e-100,0.0,0.0,0.0,0.0

Means,0,1,2,3,4,5,6,7,8,9,10,11,12,13
commit_messages,0.1875021899916228,2.5828521400402549,59.749999997703455,1.721621097720248,5.6164770586059607,0.0,33.728419153455675,3.6775179828953526,14.093771566444408,1.5576343001320485,9.30224043469034,15.228226606234673,59.333333267293554,5.5494968645580443
pull_request_merged,0.0,0.18630782767375889,7.2499999967849318,0.34692608737632008,1.2742349928420247,0.0,2.990125562239534,0.85471990123586195,1.8000051256773089,0.0,1.1441849047587869,5.0859908939984706,7.6666666522204574,0.0
issue_comment,0.026249785394219297,1.9721525710183516,58.249999985761882,2.549737367647225,8.0933155677598627,4.0,24.568166019065803,4.0074699726077236,14.141813475715496,1.5155594528630043,9.5030076148732725,20.628570458240361,44.666666630551163,6.0231087254122162
commit_comments,0.0,3.4533367688015888,0.50000000091858876,0.0,0.0,0.0,1.7176356265347004e-142,0.0,0.0,0.0,3.0727062518126718,0.28511779004349741,1.336695941573042e-132,0.0
issue_title,0.0,0.39503373152475679,15.000000005511518,0.0,1.6028471861812985,0.0,5.2016360969685245,2.0955736555127338,3.3469819352834369,0.61401717456122518,2.2511913573568241,10.858605301787247,17.333333307536531,1.3804927345002562
issue_closed,0.0,0.51886348878581601,15.999999999999989,0.67202510344675537,2.4605502042291683,154.0,7.0425789220770918,1.6976600678105833,3.5677965734325428,0.12258270818987588,2.7039680847303216,8.7845931867691309,14.666666649124846,0.18740513586413352
pull_request_title,0.0,0.10418803454645757,10.000000005511522,0.0,0.8572747255248051,0.0,3.0247030702299518,0.99775506303431138,1.747458841444407,0.18625240749837188,1.2018697682339157,4.8027473325413306,11.333333319918998,0.64672925885065091
pull_request_commit_comment,0.0,3.5147267046267281,131.25000000597075,5.1729316688542477,5.9482389507047841,0.0,56.959278756667047,0.0,15.921314539565188,0.0,7.6783251488662154,12.56273611941932,63.999999990713242,8.7734597585986869
pull_request_commit,0.0,1.5874872012288175,87.500000045010765,1.2484350440221563,4.4870264746383715,0.0,35.033547882199436,2.6841576947478125,12.906796286508378,1.0468589487379203,7.9321792561648792,8.9117937639558029,90.66666652220465,5.0858497222358325

Variances,0,1,2,3,4,5,6,7,8,9,10,11,12,13
commit_messages,0.55755230683495738,6.2904726761759724,141.69000025744111,3.6812386316550016,11.224169393156643,0.01,125.76326485088219,8.1689465178726532,70.930359077511639,6.5637994841949796,32.844907004365396,88.529174635928356,420.22555566354731,46.75270557752026
pull_request_merged,1.7003222222737373e-06,0.15197058060277521,6.190000005745774,0.29097494025679083,0.54947284191772539,0.01,2.2809775348675196,0.48072054261286612,1.9208134740007687,9.1093013016102421e-06,0.9735279621952363,7.0811614746629106,20.225555560360618,3.7723725409777411e-05
issue_comment,0.025562434483198997,5.4145678532144883,61.190000002071073,9.0471708960347517,28.317912184565234,0.01,469.92221720005182,12.962625494251908,105.17035174096186,4.0322723122455937,51.540290894079291,353.74998926489206,29.558889218733679,39.135062061550272
commit_comments,1.7003222222737373e-06,7.7626892713304416,0.75250000092318159,3.0710440067580381e-05,6.7620835848314207e-05,0.01,0.0015762948252827267,4.9858688438950469e-05,8.5972675277772931e-05,9.1093013016102421e-06,13.521177815720966,0.49035874633128407,0.0033333333230146115,3.7723725409777411e-05
issue_title,1.7003222222737373e-06,0.44768027763093249,22.5025000248067,3.0710440067580381e-05,1.0273631917216275,0.01,11.646864906699497,3.6425690763287188,4.5210894073649097,0.50923003128348998,2.2804236276206917,77.670688953430584,16.225555720300804,0.98018847651845065
issue_closed,1.7003222222737373e-06,0.686677722759227,6.0025000110277427,0.84063315977381958,1.9253743588060266,0.01,17.583151941729334,1.9080827637311584,6.2184065435100218,0.11175177237881524,2.9673797679995308,26.280141800162824,74.892222089788248,0.16045584919340503
pull_request_title,1.7003222222737373e-06,0.093706239723237314,9.0025000000047175,3.0710440067580381e-05,0.57590820622663563,0.01,5.5758809089614081,0.75001395716087793,1.4465125259159997,0.1648939960810849,1.0002078644695449,8.6343991028129459,8.2255555882211393,0.41415656226626002
pull_request_commit_comment,1.7003222222737373e-06,55.484092779463211,70.690000110472369,61.261720092163721,31.076223847560186,0.01,1560.6721679333484,4.9858688438950469e-05,264.82093526821433,9.1093013016102421e-06,81.244670488159144,366.30755910115204,42.003333231171617,127.92197338448281
pull_request_commit,1.7003222222737373e-06,4.0220969613955049,778.25250032702741,3.0234811288249976,8.9809880043331223,0.01,125.14736869728404,6.0630941636103017,93.905589302191714,2.3770937071417859,24.14713498217202,15.86814911398789,76.225562061149986,26.281795342585831

Transition Probabilities
	,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.87351374723904462,0.0015373897816794498,0.0,0.011769743119466223,0.0034669212663708472,0.0,9.1673058741105022e-254,0.011520120371884442,0.0011119041994507692,0.088104701862950496,0.00034322452081884079,0.00050948474238251141,0.0,0.0081227628959517784
1,0.41012532514540145,0.074673597163456659,3.4938805371056404e-284,2.8879293606708252e-54,0.037593488179872812,0.0,1.2154427424352235e-273,0.058537223190386047,2.1121797053442339e-115,0.300773203757916,2.0815670856639007e-80,6.4980496382841021e-249,0.0,0.11829716256296706
2,0.0,0.0,0.49999999906884701,0.0,0.0,0.0,0.25011594050395008,0.0,0.24988406042720288,0.0,1.1394564063959947e-314,3.2414788087758381e-291,0.0,0.0
3,0.3089866387552711,0.019055620643975479,0.0,0.16461943738321777,0.057163167589866053,2.9555724755749822e-191,7.7960665222489328e-180,0.038174312330756625,0.032608448886843507,0.25239918854703874,0.0061195382754619934,1.0100020412874252e-120,0.0,0.12087364758756874
