,burst_id,burst_start,burst_end,burst_duration_days,total_activity,num_files (Change Size),file_modules (#Teams),total_num_issues,issues_opened,issues_closed,avg_res_time_hours,efficiency,issue_per_person (Team Load),activity_per_person,committing_users,commenting_users,total_actors,component_experience,tenure,structural_congruence_fct,mr_congruence_fct,users_to_coordinate
0,0,2014-05-26,2014-05-26,1,2,1,1,6,6,0,0.0,0.0,6.0,0.666666666667,1,3,3,0.0,0.0,NA,NA,['popravich']
1,1,2014-06-17,2014-06-17,1,7,2,1,1,1,0,0.0,0.0,1.0,2.33333333333,1,3,3,0.0,0.0,NA,NA,['jettify']
2,2,2014-07-04,2014-07-04,1,12,23,3,3,2,2,3.22986111111,1.0,1.5,6.0,2,2,2,0.847826086957,28.0,1.0,1.0,"set(['jettify', 'popravich'])"
3,3,2014-07-08,2014-07-08,1,3,3,2,1,0,1,6.72194444444,1.0,1.0,1.5,1,2,2,0.0,43.0,NA,NA,['popravich']
4,4,2014-07-16,2014-07-18,3,22,17,2,3,2,2,32.9979166667,1.0,1.5,11.0,2,2,2,1.55882352941,42.0,1.0,1.0,"set(['jettify', 'popravich'])"
5,7,2014-11-10,2014-11-10,1,6,6,2,2,1,2,8.10069444444,1.0,1.0,3.0,2,2,2,4.66666666667,139.5,1.0,1.0,"set(['popravich', 'tailhook'])"
6,9,2015-07-07,2015-07-07,1,18,17,3,2,1,2,4.6025,2.0,2.0,18.0,1,1,1,0.0,407.0,NA,NA,['popravich']
7,10,2015-07-28,2015-07-28,1,12,6,2,6,5,4,2.85840277778,1.0,1.5,3.0,4,4,4,1.29166666667,332.333333333,1.0,0.6666666666666666,"set(['asvetlov', 'kernel0', 'popravich', 'krkd'])"
8,11,2015-08-25,2015-08-25,1,15,4,2,1,1,1,0.0436111111111,1.0,1.0,15.0,1,1,1,0.0,0.0,NA,NA,['bdrosen96']
9,12,2015-10-29,2015-10-29,1,11,7,3,3,3,3,2.00212962963,1.5,1.5,5.5,2,2,2,0.642857142857,521.0,1.0,1.0,"set(['samuelcolvin', 'popravich'])"
10,14,2016-03-10,2016-03-10,1,13,5,2,4,3,4,6.77576388889,2.0,2.0,4.33333333333,2,2,3,6.7,327.5,1.0,0.0,"set(['popravich', 'the-panda'])"
11,15,2016-04-05,2016-04-05,1,12,2,1,2,1,2,9.99111111111,1.0,1.0,6.0,2,2,2,15.5,353.5,1.0,1.0,"set(['popravich', 'the-panda'])"
12,16,2016-05-26,2016-05-26,1,5,31,2,1,0,1,10.1444444444,1.0,1.0,5.0,1,1,1,0.0,731.0,NA,NA,['popravich']
13,17,2016-06-02,2016-06-03,2,18,36,3,3,1,3,5.38268518519,3.0,3.0,18.0,1,1,1,0.0,739.0,NA,NA,['popravich']
14,20,2016-09-27,2016-09-27,1,21,3,2,12,11,11,3.24585858586,3.6666666666666665,4.0,5.25,3,4,4,2.0,313.333333333,1.0,1.0,"set(['alefteris', 'popravich', 'pyup-bot'])"
15,21,2016-11-14,2016-11-14,1,5,3,1,4,4,2,4.85972222222,1.0,2.0,1.66666666667,2,3,3,9.16666666667,476.0,0.0,0.0,"set(['popravich', 'pyup-bot'])"
16,22,2016-12-28,2016-12-28,1,15,7,1,1,1,1,4.71888888889,1.0,1.0,15.0,1,1,1,0.0,947.0,NA,NA,['popravich']
17,23,2017-01-04,2017-01-05,2,19,4,1,1,0,1,37.3897222222,1.0,1.0,9.5,1,2,2,0.0,1.0,NA,NA,['polyn0m']
18,24,2017-01-10,2017-01-10,1,16,14,3,1,1,1,0.45,1.0,1.0,16.0,1,1,1,0.0,960.0,NA,NA,['popravich']
19,25,2017-01-17,2017-01-17,1,6,19,2,5,1,4,9.89277777778,4.0,5.0,1.5,1,4,4,0.0,967.0,NA,NA,['popravich']
20,26,2017-04-29,2017-04-29,1,0,0,0,1,1,0,0.0,NA,NA,0.0,0,2,2,0.0,0.0,NA,NA,[]
21,27,2017-05-03,2017-05-05,3,53,0,0,9,6,8,13.5292013889,4.0,4.5,17.6666666667,2,3,3,0.0,648.0,NA,NA,"['popravich', 'pyup-bot']"
22,28,2017-05-11,2017-05-11,1,14,0,0,4,2,3,15.1806481481,1.5,2.0,7.0,2,2,2,0.0,654.0,NA,NA,"['popravich', 'pyup-bot']"
23,29,2017-05-15,2017-05-15,1,12,0,0,6,2,6,9.3287037037,3.0,3.0,3.0,2,4,4,0.0,658.0,NA,NA,"['popravich', 'pyup-bot']"
24,30,2017-06-07,2017-06-09,3,28,0,0,7,4,4,48.4916666667,2.0,3.5,14.0,2,2,2,0.0,683.0,NA,NA,"['popravich', 'pyup-bot']"
25,31,2017-06-14,2017-06-14,1,1,0,0,1,1,1,3.56194444444,NA,NA,1.0,0,1,1,0.0,0.0,NA,NA,[]
26,32,2017-06-21,2017-06-21,1,17,0,0,8,4,8,6.16659722222,4.0,4.0,8.5,2,2,2,0.0,695.0,NA,NA,"['popravich', 'pyup-bot']"
