,burst_id,burst_start,burst_end,burst_duration_days,total_activity,num_files (Change Size),file_modules (#Teams),total_num_issues,issues_opened,issues_closed,avg_res_time_hours,efficiency,issue_per_person (Team Load),activity_per_person,committing_users,commenting_users,total_actors,component_experience,tenure,structural_congruence_fct,mr_congruence_fct,users_to_coordinate
0,0,2012-01-16,2012-01-16,1,3,0,0,1,1,0,0.0,NA,NA,1.5,0,2,2,0.0,0.0,NA,NA,[]
1,2,2012-03-13,2012-03-16,4,98,8,1,11,11,4,1.03416666667,0.6666666666666666,1.8333333333333333,16.3333333333,6,5,6,0.0208333333333,40.5,0.9285714285714286,0.42857142857142855,"set(['dgouldin', 'kennethreitz', 'ghickman', 'idan', 'ib-lundgren', 'pydanny'])"
2,3,2012-03-24,2012-03-24,1,29,3,1,6,0,6,17.4179166667,3.0,3.0,7.25,2,4,4,0.666666666667,39.0,1.0,1.0,"set(['dgouldin', 'ib-lundgren'])"
3,4,2012-03-31,2012-03-31,1,11,7,1,5,5,2,14.5705555556,1.0,2.5,2.75,2,4,4,0.0,46.0,1.0,1.0,"set(['dgouldin', 'ib-lundgren'])"
4,5,2012-04-18,2012-04-19,2,66,6,1,3,3,1,16.0797222222,0.5,1.5,16.5,2,4,4,0.583333333333,75.5,1.0,1.0,"set(['calebbrown', 'idan'])"
5,6,2012-04-24,2012-04-26,3,39,9,1,3,2,2,28.2484722222,0.5,0.75,9.75,4,4,4,0.722222222222,77.25,1.0,0.6666666666666666,"set(['dgouldin', 'ib-lundgren', 'calebbrown', 'idan'])"
6,7,2012-06-12,2012-06-12,1,6,4,1,6,1,6,15.1722222222,6.0,6.0,1.5,1,4,4,0.0,147.0,NA,NA,['ib-lundgren']
7,8,2012-11-08,2012-11-08,1,6,7,1,3,0,3,20.4587962963,3.0,3.0,2.0,1,3,3,0.0,296.0,NA,NA,['ib-lundgren']
8,9,2012-11-16,2012-11-16,1,7,0,0,11,9,4,4.28708333333,1.3333333333333333,3.6666666666666665,0.875,3,8,8,0.0,203.333333333,NA,NA,"['kennethreitz', 'tomchristie', 'ib-lundgren']"
9,10,2013-01-15,2013-01-15,1,7,3,1,5,3,3,17.6343518519,1.5,2.5,1.75,2,4,4,1.0,364.0,1.0,1.0,"set(['russss', 'ib-lundgren'])"
10,11,2013-02-03,2013-02-06,4,47,11,1,12,6,11,11.5756313131,3.6666666666666665,4.0,6.71428571429,3,7,7,0.939393939394,195.0,1.0,0.6666666666666666,"set(['ondrowan', 'ib-lundgren', 'andreif'])"
11,12,2013-02-13,2013-02-14,2,20,2,1,6,6,4,12.5672916667,2.0,3.0,10.0,2,2,2,0.75,203.0,1.0,1.0,"set(['ondrowan', 'ib-lundgren'])"
12,13,2013-02-18,2013-02-18,1,7,1,1,6,3,3,18.7982407407,3.0,6.0,1.16666666667,1,6,6,0.0,398.0,NA,NA,['ib-lundgren']
13,14,2013-03-26,2013-03-26,1,9,7,2,3,1,3,12.1612037037,1.5,1.5,3.0,2,3,3,1.5,434.0,1.0,1.0,"set(['johanmeiring', 'ib-lundgren'])"
14,15,2013-05-07,2013-05-07,1,15,3,1,2,2,1,1.09083333333,0.25,0.5,3.75,4,3,4,0.583333333333,238.0,1.0,1.0,"set(['ib-lundgren', 'flippmoke', 'stephane', 'kroisse'])"
15,16,2013-05-16,2013-05-16,1,4,2,2,1,1,0,0.0,0.0,0.5,1.33333333333,2,2,3,0.0,8.0,0.0,0.0,"set(['flippmoke', 'kroisse'])"
16,17,2013-05-23,2013-05-31,9,142,61,4,33,18,33,84.4446043771,5.5,5.5,11.8333333333,6,12,12,0.196721311475,121.166666667,1.0,0.4666666666666667,"set(['dasevilla', 'synasius', 'lepture', 'stephane', 'dahlia', 'ib-lundgren'])"
