,burst_id,burst_start,burst_end,burst_duration_days,total_activity,num_files (Change Size),file_modules (#Teams),total_num_issues,issues_opened,issues_closed,avg_res_time_hours,efficiency,issue_per_person (Team Load),activity_per_person,committing_users,commenting_users,total_actors,component_experience,tenure,structural_congruence_fct,mr_congruence_fct,users_to_coordinate
0,2,2012-06-07,2012-06-07,1,12,4,1,3,3,0,0.0,0.0,3.0,3.0,1,4,4,0.0,0.0,NA,NA,['alexandre.abraham@cea.fr']
1,3,2012-06-22,2012-06-29,8,235,26,4,19,15,18,35.9491049383,3.6,3.8,33.5714285714,5,7,7,0.0461538461538,287.75,0.5,1.0,"set(['alexandreabraham', 'gaelvaroquaux', 'jaquesgrobler', 'agramfort', 'alexandre.abraham@cea.fr'])"
2,4,2012-09-18,2012-09-19,2,49,25,1,1,1,1,8.05166666667,0.333333333333,0.333333333333,16.3333333333,3,3,3,0.4,386.5,0.3333333333333333,1.0,"set(['alexandreabraham', 'gaelvaroquaux', 'alexandre.abraham@cea.fr'])"
3,5,2012-11-20,2012-11-20,1,17,8,1,1,0,1,22.7369444444,0.5,0.5,5.66666666667,2,3,3,2.25,680.0,1.0,1.0,"set(['gaelvaroquaux', 'alexandre.abraham@cea.fr'])"
4,6,2012-11-29,2012-12-03,5,20,10,1,2,2,0,0.0,0.0,2.0,6.66666666667,1,3,3,0.0,0.0,NA,NA,['alexandre.abraham@cea.fr']
5,7,2013-04-05,2013-04-09,5,39,13,1,2,1,1,84.1519444444,0.5,1.0,13.0,2,3,3,0.423076923077,195.0,1.0,1.0,"set(['alexandreabraham', 'pgervais'])"
6,8,2013-04-17,2013-04-18,2,10,6,1,1,1,0,0.0,0.0,1.0,5.0,1,2,2,0.0,42.0,NA,NA,['pgervais']
7,9,2013-04-22,2013-05-03,12,163,27,2,6,4,5,127.112666667,2.5,3.0,40.75,2,4,4,0.907407407407,219.0,1.0,1.0,"set(['alexandreabraham', 'pgervais'])"
8,11,2013-05-13,2013-05-17,5,52,34,2,5,4,4,43.6940972222,4.0,5.0,13.0,1,4,4,0.0,71.0,NA,NA,['pgervais']
9,12,2013-05-21,2013-05-22,2,48,21,1,6,2,4,14.03625,2.0,3.0,9.6,2,5,5,3.2619047619,469.5,1.0,1.0,"set(['gaelvaroquaux', 'pgervais'])"
10,13,2013-05-27,2013-05-31,5,82,28,1,10,6,9,46.1507407407,3.0,3.33333333333,10.25,3,8,8,1.52380952381,454.666666667,1.0,1.0,"set(['alexandreabraham', 'fabianp', 'pgervais'])"
11,14,2013-06-10,2013-06-20,11,345,117,3,13,12,9,112.003734568,1.8,2.6,69.0,5,5,5,0.364102564103,294.4,0.5,0.8,"set(['alexandreabraham', 'dohmatob', 'bthirion', 'gaelvaroquaux', 'pgervais'])"
12,15,2013-07-16,2013-07-18,3,6,1,1,1,1,0,0.0,0.0,0.5,1.5,2,3,4,0.0,295.0,0.0,0.0,"set(['alexandreabraham', 'pgervais'])"
13,16,2013-08-01,2013-08-02,2,26,50,2,5,1,5,18.6597222222,2.5,2.5,8.66666666667,2,3,3,0.32,541.5,1.0,1.0,"set(['gaelvaroquaux', 'pgervais'])"
14,17,2013-08-19,2013-08-19,1,6,5,2,5,2,4,10.3734027778,4.0,5.0,3.0,1,2,2,0.0,489.0,NA,NA,['alexandreabraham']
