,burst_id,burst_start,burst_end,burst_duration_days,total_activity,num_files (Change Size),file_modules (#Teams),total_num_issues,issues_opened,issues_closed,avg_res_time_hours,efficiency,issue_per_person (Team Load),activity_per_person,committing_users,commenting_users,total_actors,component_experience,tenure,structural_congruence_fct,mr_congruence_fct,users_to_coordinate
0,0,2015-03-27,2015-03-27,1,3,2,1,2,2,0,0.0,0.0,2.0,3.0,1,0,1,0.0,610.0,NA,NA,['pcmanticore']
1,1,2015-04-16,2015-04-16,1,0,0,0,5,5,0,0.0,NA,NA,0.0,0,1,1,0.0,0.0,NA,NA,[]
2,2,2015-06-02,2015-06-02,1,4,9,2,3,3,0,0.0,0.0,1.5,2.0,2,0,2,0.277777777778,338.5,1.0,0.0,"set(['pcmanticore', 'thedrow'])"
3,3,2015-06-20,2015-06-20,1,5,4,1,14,14,0,0.0,0.0,14.0,5.0,1,1,1,0.0,695.0,NA,NA,['pcmanticore']
4,4,2015-07-03,2015-07-03,1,6,9,1,5,5,0,0.0,0.0,5.0,6.0,1,1,1,0.0,708.0,NA,NA,['pcmanticore']
5,5,2015-07-13,2015-07-13,1,2,2,1,4,4,0,0.0,0.0,4.0,2.0,1,1,1,0.0,718.0,NA,NA,['pcmanticore']
6,6,2015-07-25,2015-07-25,1,34,18,2,1,1,0,0.0,0.0,0.3333333333333333,11.3333333333,3,0,3,0.0,730.0,1.0,0.0,"set(['pcmanticore', 'radowit', 'the-compiler'])"
7,7,2015-08-20,2015-08-20,1,4,4,1,3,3,0,0.0,0.0,3.0,4.0,1,1,1,0.0,756.0,NA,NA,['pcmanticore']
8,9,2015-09-29,2015-09-29,1,2,1,1,2,2,0,0.0,0.0,2.0,2.0,1,1,1,0.0,796.0,NA,NA,['pcmanticore']
9,10,2015-10-26,2015-10-26,1,6,22,2,4,4,0,0.0,0.0,4.0,3.0,1,2,2,0.0,823.0,NA,NA,['pcmanticore']
10,11,2015-10-30,2015-10-30,1,4,5,1,1,1,0,0.0,0.0,0.5,2.0,2,0,2,0.0,827.0,1.0,0.0,"set(['laura.medioni@logilab.fr', 'pcmanticore'])"
11,12,2015-11-03,2015-11-03,1,2,2,1,1,1,0,0.0,0.0,1.0,2.0,1,0,1,0.0,117.0,NA,NA,['ceridwen']
12,13,2015-11-14,2015-11-14,1,4,0,0,1,1,0,0.0,0.0,1.0,2.0,1,2,2,0.0,842.0,NA,NA,['pcmanticore']
13,14,2015-12-01,2015-12-01,1,3,2,1,2,2,0,0.0,0.0,2.0,1.5,1,1,2,0.0,859.0,NA,NA,['pcmanticore']
14,15,2015-12-09,2015-12-21,13,106,31,2,174,18,165,10.7691094276,33.0,34.8,13.25,5,8,8,0.0,250.6,0.8333333333333334,0.5,"set(['laura.medioni@logilab.fr', 'pcmanticore', 'dashea', 'arusahni', 'the-compiler'])"
15,16,2016-01-14,2016-01-15,2,22,5,1,6,6,5,12.0842222222,1.25,1.5,3.66666666667,4,6,6,1.45,273.5,1.0,0.6666666666666666,"set(['ceridwen', 'pcmanticore', 'dbaum', 'mbdevpl'])"
16,17,2016-02-11,2016-02-13,3,17,0,0,4,1,4,38.6416666667,4.0,4.0,5.66666666667,1,3,3,0.0,933.0,NA,NA,['pcmanticore']
17,18,2016-02-18,2016-02-18,1,2,3,1,7,0,7,22.0085714286,7.0,7.0,0.666666666667,1,3,3,0.0,938.0,NA,NA,['pcmanticore']
18,19,2016-02-23,2016-02-23,1,0,0,0,1,0,1,22.9008333333,NA,NA,0.0,0,2,2,0.0,0.0,NA,NA,[]
19,21,2016-06-27,2016-06-27,1,4,1,1,7,0,7,17.9623412698,7.0,7.0,2.0,1,2,2,0.0,1068.0,NA,NA,['pcmanticore']
20,22,2016-07-23,2016-07-23,1,5,2,1,4,4,1,3.60527777778,0.3333333333333333,1.3333333333333333,1.66666666667,3,3,3,0.0,728.5,1.0,1.0,"set(['pcmanticore', 'the-compiler', 'rogalski'])"
21,23,2016-08-20,2016-08-24,5,55,31,2,4,4,2,46.8745833333,0.6666666666666666,1.3333333333333333,13.75,3,4,4,0.0,535.0,1.0,1.0,"set(['pcmanticore', 'moylop260', 'the-compiler'])"
22,24,2016-12-29,2017-01-04,7,26,6,1,4,3,2,27.9202777778,0.5,1.0,5.2,4,5,5,0.0833333333333,485.666666667,1.0,0.5,"set(['david@dropbox.com', 'degustaf', 'pcmanticore', 'rogalski'])"
23,25,2017-01-25,2017-01-30,6,45,12,1,9,7,3,73.2886111111,0.6,1.8,6.42857142857,5,7,7,0.116666666667,312.0,1.0,0.8,"set(['david@dropbox.com', 'degustaf', 'pcmanticore', 'rr-', 'rogalski'])"
24,26,2017-02-05,2017-02-09,5,75,5,1,10,7,7,49.2737698413,2.3333333333333335,3.3333333333333335,15.0,3,5,5,0.0666666666667,133.666666667,1.0,0.3333333333333333,"set(['rr-', 'royw', 'rogalski'])"
25,27,2017-02-28,2017-03-01,2,20,11,1,7,3,6,29.7674074074,1.2,1.4,2.5,5,8,8,0.0545454545455,329.0,1.0,1.0,"set(['david@dropbox.com', 'euresti', 'pcmanticore', 'rogalski', 'asottile'])"
26,28,2017-03-08,2017-03-08,1,9,2,1,3,3,0,0.0,0.0,1.5,1.8,2,5,5,6.0,608.0,1.0,1.0,"set(['ceridwen', 'cpennington'])"
27,29,2017-03-13,2017-03-13,1,3,2,1,2,1,2,10.5569444444,1.0,1.0,1.0,2,3,3,0.0,665.5,0.0,0.0,"set(['cpennington', 'pcmanticore'])"
28,30,2017-04-02,2017-04-02,1,10,9,1,5,0,5,14.5724444444,5.0,5.0,3.33333333333,1,3,3,0.0,252.0,NA,NA,['rogalski']
29,31,2017-05-22,2017-05-22,1,4,4,1,6,1,5,12.9485555556,2.5,3.0,2.0,2,2,2,0.125,849.5,1.0,1.0,"set(['pcmanticore', 'rogalski'])"
30,32,2017-06-03,2017-06-03,1,2,1,1,2,1,1,13.7352777778,1.0,2.0,1.0,1,2,2,0.0,1409.0,NA,NA,['pcmanticore']
31,33,2017-10-12,2017-10-12,1,10,19,1,4,3,4,3.03388888889,2.0,2.0,3.33333333333,2,3,3,0.0,1540.0,1.0,1.0,"set(['pcmanticore', 'hugovk'])"
32,34,2017-11-02,2017-11-03,2,11,3,2,2,1,1,12.8791666667,0.25,0.5,2.75,4,2,4,0.0,531.0,0.0,0.0,"set(['hippo91', 'pcmanticore', 'rogalski', 'mathieui'])"
33,35,2017-11-11,2017-11-11,1,7,5,1,1,0,1,11.6572222222,1.0,1.0,3.5,1,2,2,0.0,1570.0,NA,NA,['pcmanticore']
34,36,2017-12-11,2017-12-11,1,2,2,1,2,1,1,9.34361111111,1.0,2.0,0.5,1,3,4,0.0,59.0,NA,NA,['hugovk']
35,37,2017-12-15,2017-12-15,1,9,9,1,5,1,5,7.23327777778,5.0,5.0,3.0,1,3,3,0.0,1604.0,NA,NA,['pcmanticore']
36,38,2017-12-27,2017-12-28,2,3,5,1,3,2,1,13.9294444444,0.5,1.5,1.5,2,2,2,0.0,837.5,1.0,1.0,"set(['brycepg', 'pcmanticore'])"
