,ahoyosid,akshayah3,alexandreabraham,alexsavio,arthurmensch,darya-chyzhyk,dohmatob,gaelvaroquaux,jeromedockes,juhuntenburg,kamalakerdadi,moritz.boos@uni-oldenburg.de,mrahim,salma1601,simon.richard.steinkamp@uni-oldenburg.de,souravsingh
ahoyosid,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
akshayah3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexandreabraham,1.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0
alexsavio,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arthurmensch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
darya-chyzhyk,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
dohmatob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaelvaroquaux,2.0,0.0,9.0,4.0,2.0,3.0,2.0,0.0,0.0,2.0,19.0,1.0,1.0,0.0,1.0,1.0
jeromedockes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juhuntenburg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
kamalakerdadi,2.0,0.0,7.0,0.0,1.0,2.0,0.0,19.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
moritz.boos@uni-oldenburg.de,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mrahim,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
salma1601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
simon.richard.steinkamp@uni-oldenburg.de,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
souravsingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
