,ahoyosid,akshayah3,alexandreabraham,alexsavio,arthurmensch,darya-chyzhyk,dohmatob,gaelvaroquaux,jeromedockes,juhuntenburg,kamalakerdadi,moritz.boos@uni-oldenburg.de,mrahim,salma1601,simon.richard.steinkamp@uni-oldenburg.de,souravsingh
ahoyosid,672646.0,3220.0,1720554.0,35554.0,73664.0,68932.0,2438859.0,2179207.0,669976.0,96589.0,922087.0,4382.0,142156.0,98369.0,1345.0,7368.0
akshayah3,3220.0,0.0,17488.0,284.0,602.0,586.0,7502.0,20444.0,5658.0,766.0,9462.0,34.0,1168.0,860.0,6.0,12.0
alexandreabraham,1720554.0,17488.0,10349834.0,160506.0,442767.0,258097.0,3926055.0,11544528.0,3125688.0,343062.0,4488525.0,18312.0,596517.0,447792.0,5539.0,21192.0
alexsavio,35554.0,284.0,160506.0,3590.0,6551.0,6896.0,77746.0,191521.0,59049.0,11575.0,92222.0,572.0,9949.0,9296.0,43.0,498.0
arthurmensch,73664.0,602.0,442767.0,6551.0,18876.0,10892.0,164998.0,497599.0,130090.0,15240.0,188800.0,954.0,26923.0,17893.0,172.0,1098.0
darya-chyzhyk,68932.0,586.0,258097.0,6896.0,10892.0,18318.0,170655.0,307219.0,109197.0,26708.0,164423.0,727.0,14190.0,16444.0,95.0,1032.0
dohmatob,2438859.0,7502.0,3926055.0,77746.0,164998.0,170655.0,10324354.0,5182306.0,1600076.0,203869.0,1985425.0,6884.0,502756.0,219678.0,1475.0,19512.0
gaelvaroquaux,2179207.0,20444.0,11544528.0,191521.0,497599.0,307219.0,5182306.0,13060592.0,3648091.0,442612.0,5256364.0,28824.0,682019.0,513629.0,8237.0,31020.0
jeromedockes,669976.0,5658.0,3125688.0,59049.0,130090.0,109197.0,1600076.0,3648091.0,1123138.0,203346.0,1581556.0,9055.0,182831.0,160033.0,1769.0,10770.0
juhuntenburg,96589.0,766.0,343062.0,11575.0,15240.0,26708.0,203869.0,442612.0,203346.0,97212.0,252370.0,1642.0,18248.0,23820.0,74.0,1446.0
kamalakerdadi,922087.0,9462.0,4488525.0,92222.0,188800.0,164423.0,1985425.0,5256364.0,1581556.0,252370.0,2419034.0,16265.0,262332.0,238058.0,4370.0,13674.0
moritz.boos@uni-oldenburg.de,4382.0,34.0,18312.0,572.0,954.0,727.0,6884.0,28824.0,9055.0,1642.0,16265.0,2154.0,1123.0,1612.0,9.0,186.0
mrahim,142156.0,1168.0,596517.0,9949.0,26923.0,14190.0,502756.0,682019.0,182831.0,18248.0,262332.0,1123.0,40630.0,25932.0,351.0,1218.0
salma1601,98369.0,860.0,447792.0,9296.0,17893.0,16444.0,219678.0,513629.0,160033.0,23820.0,238058.0,1612.0,25932.0,26338.0,458.0,1242.0
simon.richard.steinkamp@uni-oldenburg.de,1345.0,6.0,5539.0,43.0,172.0,95.0,1475.0,8237.0,1769.0,74.0,4370.0,9.0,351.0,458.0,132.0,0.0
souravsingh,7368.0,12.0,21192.0,498.0,1098.0,1032.0,19512.0,31020.0,10770.0,1446.0,13674.0,186.0,1218.0,1242.0,0.0,0.0
