,agramfort,alexandreabraham,banilo,bthirion,demianw,fabianp,gaelvaroquaux,lesteve,sb238920@is223297.intra.cea.fr,titan-c
agramfort,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
alexandreabraham,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
banilo,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
bthirion,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
demianw,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fabianp,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
gaelvaroquaux,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
lesteve,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
sb238920@is223297.intra.cea.fr,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
titan-c,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
