,agramfort,alexandreabraham,banilo,bthirion,demianw,fabianp,gaelvaroquaux,lesteve,sb238920@is223297.intra.cea.fr,titan-c
agramfort,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexandreabraham,0.0,0.0,10.0,3.0,0.0,0.0,19.0,14.0,0.0,2.0
banilo,1.0,10.0,0.0,2.0,1.0,0.0,9.0,7.0,0.0,0.0
bthirion,0.0,3.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
demianw,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
fabianp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gaelvaroquaux,0.0,19.0,9.0,4.0,1.0,1.0,0.0,16.0,1.0,2.0
lesteve,0.0,14.0,7.0,3.0,1.0,0.0,16.0,1.0,1.0,1.0
sb238920@is223297.intra.cea.fr,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
titan-c,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
