,agramfort,alexandreabraham,banilo,bthirion,demianw,fabianp,gaelvaroquaux,lesteve,sb238920@is223297.intra.cea.fr,titan-c
agramfort,926.0,127571.0,27981.0,1340.0,955.0,99.0,111515.0,86041.0,8269.0,6407.0
alexandreabraham,127571.0,15010614.0,3254079.0,164477.0,109576.0,12693.0,12420105.0,9832771.0,941957.0,808098.0
banilo,27981.0,3254079.0,752520.0,34797.0,26831.0,2681.0,2807355.0,2330799.0,217822.0,161226.0
bthirion,1340.0,164477.0,34797.0,1830.0,1143.0,119.0,131912.0,108273.0,10056.0,9504.0
demianw,955.0,109576.0,26831.0,1143.0,1140.0,89.0,102961.0,90428.0,6971.0,4936.0
fabianp,99.0,12693.0,2681.0,119.0,89.0,0.0,10730.0,7725.0,726.0,606.0
gaelvaroquaux,111515.0,12420105.0,2807355.0,131912.0,102961.0,10730.0,10697244.0,8608515.0,806501.0,591810.0
lesteve,86041.0,9832771.0,2330799.0,108273.0,90428.0,7725.0,8608515.0,7478460.0,667382.0,488467.0
sb238920@is223297.intra.cea.fr,8269.0,941957.0,217822.0,10056.0,6971.0,726.0,806501.0,667382.0,66390.0,45832.0
titan-c,6407.0,808098.0,161226.0,9504.0,4936.0,606.0,591810.0,488467.0,45832.0,49502.0
