,ahoyosid,alexandreabraham,amadeus.kanan@gmail.com,arthurmensch,banilo,chrisfilo,dohmatob,gaelvaroquaux,juhuntenburg,kamalakerdadi,lesteve,martinperez,mih,sb238920@is223297.intra.cea.fr
ahoyosid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexandreabraham,0.0,6.0,2.0,10.0,45.0,7.0,16.0,66.0,2.0,11.0,59.0,7.0,3.0,2.0
amadeus.kanan@gmail.com,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
arthurmensch,0.0,10.0,0.0,0.0,9.0,0.0,1.0,12.0,0.0,3.0,8.0,0.0,0.0,0.0
banilo,0.0,45.0,1.0,9.0,0.0,2.0,6.0,34.0,3.0,6.0,32.0,2.0,1.0,1.0
chrisfilo,0.0,7.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,1.0,5.0,1.0,1.0,0.0
dohmatob,0.0,16.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,1.0,11.0,1.0,1.0,0.0
gaelvaroquaux,0.0,66.0,2.0,12.0,34.0,9.0,6.0,0.0,3.0,9.0,53.0,7.0,7.0,2.0
juhuntenburg,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
kamalakerdadi,0.0,11.0,0.0,3.0,6.0,1.0,1.0,9.0,0.0,0.0,11.0,0.0,0.0,1.0
lesteve,0.0,59.0,2.0,8.0,32.0,5.0,11.0,53.0,3.0,11.0,2.0,6.0,1.0,2.0
martinperez,0.0,7.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0
mih,0.0,3.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
sb238920@is223297.intra.cea.fr,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
