,ahoyosid,alexandreabraham,amadeus.kanan@gmail.com,arthurmensch,banilo,chrisfilo,dohmatob,gaelvaroquaux,juhuntenburg,kamalakerdadi,lesteve,martinperez,mih,sb238920@is223297.intra.cea.fr
ahoyosid,403412.0,1686148.0,0.0,52975.0,354889.0,78074.0,2486689.0,1684418.0,51835.0,638083.0,1148023.0,122189.0,0.0,183569.0
alexandreabraham,1686148.0,17602364.0,0.0,513019.0,3795439.0,771086.0,5964815.0,15201781.0,330885.0,5425807.0,11332990.0,991996.0,0.0,1392876.0
amadeus.kanan@gmail.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arthurmensch,52975.0,513019.0,0.0,16156.0,118073.0,30310.0,169818.0,478499.0,11892.0,174020.0,356805.0,32515.0,0.0,41961.0
banilo,354889.0,3795439.0,0.0,118073.0,864268.0,181350.0,1128455.0,3392833.0,74980.0,1247806.0,2632799.0,229899.0,0.0,310664.0
chrisfilo,78074.0,771086.0,0.0,30310.0,181350.0,37420.0,223565.0,689291.0,18503.0,285709.0,617555.0,61617.0,0.0,58955.0
dohmatob,2486689.0,5964815.0,0.0,169818.0,1128455.0,223565.0,20014274.0,6329004.0,171401.0,2163909.0,4062318.0,392109.0,0.0,857467.0
gaelvaroquaux,1684418.0,15201781.0,0.0,478499.0,3392833.0,689291.0,6329004.0,13718146.0,322933.0,5075004.0,10285538.0,950875.0,0.0,1269604.0
juhuntenburg,51835.0,330885.0,0.0,11892.0,74980.0,18503.0,171401.0,322933.0,14852.0,157125.0,243409.0,32605.0,0.0,34648.0
kamalakerdadi,638083.0,5425807.0,0.0,174020.0,1247806.0,285709.0,2163909.0,5075004.0,157125.0,2073524.0,3907233.0,395510.0,0.0,487612.0
lesteve,1148023.0,11332990.0,0.0,356805.0,2632799.0,617555.0,4062318.0,10285538.0,243409.0,3907233.0,8336574.0,736778.0,0.0,958422.0
martinperez,122189.0,991996.0,0.0,32515.0,229899.0,61617.0,392109.0,950875.0,32605.0,395510.0,736778.0,77560.0,0.0,87588.0
mih,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sb238920@is223297.intra.cea.fr,183569.0,1392876.0,0.0,41961.0,310664.0,58955.0,857467.0,1269604.0,34648.0,487612.0,958422.0,87588.0,0.0,141072.0
