,ahoyosid,alexandreabraham,dohmatob,gaelvaroquaux,joaoloula,juhuntenburg,kamalakerdadi,lesteve,martinperez,miykael,salma1601
ahoyosid,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alexandreabraham,2.0,4.0,2.0,16.0,3.0,0.0,15.0,3.0,3.0,1.0,3.0
dohmatob,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gaelvaroquaux,1.0,16.0,1.0,0.0,2.0,0.0,13.0,3.0,3.0,1.0,3.0
joaoloula,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juhuntenburg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kamalakerdadi,1.0,15.0,1.0,13.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0
lesteve,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
martinperez,0.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
miykael,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
salma1601,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
