,ahoyosid,alexandreabraham,dohmatob,gaelvaroquaux,joaoloula,juhuntenburg,kamalakerdadi,lesteve,martinperez,miykael,salma1601
ahoyosid,383950.0,839789.0,1686037.0,1101227.0,43788.0,61589.0,460701.0,651860.0,112289.0,2296.0,64595.0
alexandreabraham,839789.0,4141054.0,2312184.0,4668516.0,153803.0,218419.0,1985385.0,3255557.0,523006.0,12571.0,263984.0
dohmatob,1686037.0,2312184.0,7826558.0,3226410.0,124580.0,157891.0,1234091.0,1723584.0,290519.0,5915.0,180186.0
gaelvaroquaux,1101227.0,4668516.0,3226410.0,5345938.0,183675.0,267558.0,2327581.0,3827167.0,613871.0,16770.0,297924.0
joaoloula,43788.0,153803.0,124580.0,183675.0,11248.0,19878.0,98832.0,107890.0,22154.0,451.0,13135.0
juhuntenburg,61589.0,218419.0,157891.0,267558.0,19878.0,64694.0,162641.0,168672.0,35859.0,759.0,18471.0
kamalakerdadi,460701.0,1985385.0,1234091.0,2327581.0,98832.0,162641.0,1121570.0,1685619.0,285138.0,6954.0,136160.0
lesteve,651860.0,3255557.0,1723584.0,3827167.0,107890.0,168672.0,1685619.0,3053372.0,459204.0,12890.0,192583.0
martinperez,112289.0,523006.0,290519.0,613871.0,22154.0,35859.0,285138.0,459204.0,72402.0,1560.0,35136.0
miykael,2296.0,12571.0,5915.0,16770.0,451.0,759.0,6954.0,12890.0,1560.0,0.0,691.0
salma1601,64595.0,263984.0,180186.0,297924.0,13135.0,18471.0,136160.0,192583.0,35136.0,691.0,21848.0
