,aabadie,ahoyosid,akinikolaidis,alexandreabraham,alexsavio,arthurmensch,erramuzpe,gaelvaroquaux,jehane,joaoloula,juhuntenburg,kamalakerdadi,salma1601
aabadie,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0
ahoyosid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
akinikolaidis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
alexandreabraham,2.0,0.0,0.0,0.0,4.0,1.0,0.0,13.0,0.0,1.0,0.0,5.0,7.0
alexsavio,1.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0
arthurmensch,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erramuzpe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gaelvaroquaux,2.0,1.0,1.0,13.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,7.0,4.0
jehane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
joaoloula,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
juhuntenburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
kamalakerdadi,2.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0
salma1601,2.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
