,aabadie,ahoyosid,akinikolaidis,alexandreabraham,alexsavio,arthurmensch,erramuzpe,gaelvaroquaux,jehane,joaoloula,juhuntenburg,kamalakerdadi,salma1601
aabadie,121018.0,72452.0,162.0,816047.0,11370.0,19394.0,6520.0,771389.0,937.0,28469.0,25936.0,356177.0,41121.0
ahoyosid,72452.0,54260.0,151.0,509403.0,9588.0,13670.0,4130.0,519717.0,778.0,22578.0,30226.0,248943.0,29504.0
akinikolaidis,162.0,151.0,0.0,1152.0,29.0,29.0,13.0,1304.0,2.0,59.0,56.0,606.0,136.0
alexandreabraham,816047.0,509403.0,1152.0,5597518.0,84990.0,147241.0,47210.0,5412994.0,6147.0,198903.0,188708.0,2502704.0,300404.0
alexsavio,11370.0,9588.0,29.0,84990.0,1016.0,1915.0,649.0,88220.0,146.0,4687.0,6293.0,44328.0,4504.0
arthurmensch,19394.0,13670.0,29.0,147241.0,1915.0,3034.0,946.0,155321.0,191.0,5950.0,6813.0,71623.0,7528.0
erramuzpe,6520.0,4130.0,13.0,47210.0,649.0,946.0,388.0,46014.0,55.0,1830.0,1525.0,20457.0,3170.0
gaelvaroquaux,771389.0,519717.0,1304.0,5412994.0,88220.0,155321.0,46014.0,5288538.0,6409.0,192258.0,210640.0,2499311.0,294772.0
jehane,937.0,778.0,2.0,6147.0,146.0,191.0,55.0,6409.0,0.0,289.0,386.0,3166.0,418.0
joaoloula,28469.0,22578.0,59.0,198903.0,4687.0,5950.0,1830.0,192258.0,289.0,9444.0,17376.0,96080.0,13099.0
juhuntenburg,25936.0,30226.0,56.0,188708.0,6293.0,6813.0,1525.0,210640.0,386.0,17376.0,61574.0,127175.0,12932.0
kamalakerdadi,356177.0,248943.0,606.0,2502704.0,44328.0,71623.0,20457.0,2499311.0,3166.0,96080.0,127175.0,1205140.0,139781.0
salma1601,41121.0,29504.0,136.0,300404.0,4504.0,7528.0,3170.0,294772.0,418.0,13099.0,12932.0,139781.0,20730.0
