,ahoyosid,alexandreabraham,alexsavio,bthirion,darya-chyzhyk,gaelvaroquaux,jeromedockes,juhuntenburg,kamalakerdadi,titan-c
ahoyosid,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
alexandreabraham,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
alexsavio,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
bthirion,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
darya-chyzhyk,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
gaelvaroquaux,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
jeromedockes,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
juhuntenburg,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
kamalakerdadi,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
titan-c,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
