,ahoyosid,alexandreabraham,alexsavio,bthirion,darya-chyzhyk,gaelvaroquaux,jeromedockes,juhuntenburg,kamalakerdadi,titan-c
ahoyosid,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
alexandreabraham,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
alexsavio,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
bthirion,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
darya-chyzhyk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gaelvaroquaux,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
jeromedockes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
juhuntenburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
kamalakerdadi,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
titan-c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
