,ahoyosid,alexandreabraham,alexsavio,bthirion,darya-chyzhyk,gaelvaroquaux,jeromedockes,juhuntenburg,kamalakerdadi,titan-c
ahoyosid,419782.0,585024.0,22573.0,8395.0,30141.0,858714.0,321853.0,55854.0,373036.0,32748.0
alexandreabraham,585024.0,1569774.0,61182.0,21367.0,73515.0,1957651.0,729847.0,128493.0,983284.0,76915.0
alexsavio,22573.0,61182.0,2470.0,719.0,3750.0,72797.0,30201.0,7939.0,41337.0,2852.0
bthirion,8395.0,21367.0,719.0,276.0,836.0,28013.0,9902.0,1425.0,12554.0,1220.0
darya-chyzhyk,30141.0,73515.0,3750.0,836.0,4974.0,93106.0,42944.0,13108.0,54601.0,2963.0
gaelvaroquaux,858714.0,1957651.0,72797.0,28013.0,93106.0,2478806.0,959927.0,177109.0,1226584.0,114618.0
jeromedockes,321853.0,729847.0,30201.0,9902.0,42944.0,959927.0,406972.0,121150.0,512279.0,43352.0
juhuntenburg,55854.0,128493.0,7939.0,1425.0,13108.0,177109.0,121150.0,74202.0,115998.0,4842.0
kamalakerdadi,373036.0,983284.0,41337.0,12554.0,54601.0,1226584.0,512279.0,115998.0,686400.0,46719.0
titan-c,32748.0,76915.0,2852.0,1220.0,2963.0,114618.0,43352.0,4842.0,46719.0,10772.0
