,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
25,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 07:41:20,small transactions update,0a8c3190ecfedd5cfc8a42a47b0e3eac9e1ac2a7,,"api.github.com,git_clone","[u'[""aioredis/commands/transaction.py""]']",False,[],[],[],[],2014-07-04
110,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 07:40:28,"Merge branch 'transactions'

Conflicts:
	aioredis/commands/__init__.py
	aioredis/connection.py",240182b3a1aef54e039130ece2ff922aee565d36,,"api.github.com,git_clone","[u'[""aioredis/commands/transaction.py"", ""aioredis/commands/__init__.py"", ""examples/transaction.py"", ""aioredis/connection.py"", ""tests/connection_commands_test.py"", ""tests/connection_test.py""]']",False,[],[],[],[],2014-07-04
120,commit_messages,,aio-libs,aioredis,jettify,2014-07-04 21:42:59,"blpop, brpop, brpoplpush, lindex commands",2716f9ad65ed2d653aea571de72df10637af94b7,,"api.github.com,git_clone","[u'[""aioredis/commands/list.py"", ""aioredis/commands/__init__.py"", ""tests/list_commands_test.py""]']",False,[],[],[],[],2014-07-04
146,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 09:36:45,testutils updated,2f8680799c8de7d72e94e2c3e4d91bcd05c5a181,,"api.github.com,git_clone","[u'[""tests/hyperloglog_commands_test.py"", ""tests/set_commands_test.py"", ""tests/generic_commands_test.py"", ""tests/connection_commands_test.py"", ""tests/hash_commands_test.py"", ""tests/_testutil.py"", ""tests/string_commands_test.py""]']",False,[],[],[],[],2014-07-04
498,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 20:37:07,transaction tests; few more improvements,a6cd9826f1b4e4e59d92634a325f97c032404117,,"api.github.com,git_clone","[u'[""aioredis/commands/generic.py"", ""aioredis/commands/transaction.py"", ""aioredis/connection.py"", ""tests/transaction_commands_test.py"", ""tests/hyperloglog_commands_test.py""]']",False,[],[],[],[],2014-07-04
534,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 06:24:08,"Merge pull request #21 from jettify/feature-hash

hash commands",b321659766ba9e51c86dd334d98695581f7a90d4,,"api.github.com,git_clone","[u'[""aioredis/commands/hash.py"", ""aioredis/commands/__init__.py"", ""tests/hash_commands_test.py""]']",False,[],"[{u'raw': u'#21', u'refstyle': u'#d', u'parts': [u'aio-libs', u'aioredis', u'21', u'']}]",[],[],2014-07-04
552,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 13:21:34,sorted set commands stub added,bae49c5bfbb1635cc7b56fe6e66a3a46392a7d11,,"api.github.com,git_clone","[u'[""aioredis/commands/__init__.py"", ""aioredis/commands/sorted_set.py""]']",False,[],[],[],[],2014-07-04
556,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 07:23:30,docstrings nazi,bc275f4011444ae97ea35743097fe9296b4f6d5d,,"api.github.com,git_clone","[u'[""aioredis/commands/generic.py"", ""aioredis/commands/hash.py"", ""aioredis/commands/__init__.py"", ""aioredis/connection.py"", ""aioredis/commands/hyperloglog.py"", ""aioredis/commands/set.py"", ""aioredis/commands/string.py"", ""docs/mixins.rst""]']",False,[],[],[],[],2014-07-04
587,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 10:08:22,more strings commands,c43ad05e4d21d48f7ee6559c2af97e03f4e4ac89,,"api.github.com,git_clone","[u'[""aioredis/commands/string.py""]']",False,[],[],[],[],2014-07-04
619,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 08:09:20,contributors.txt added; changes.txt & setup.py updated;,ce73c59056f318add28b8ee6409add4d44a29147,,"api.github.com,git_clone","[u'[""CONTRIBUTORS.txt"", ""setup.py"", ""CHANGES.txt""]']",False,[],[],[],[],2014-07-04
703,commit_messages,,aio-libs,aioredis,popravich,2014-07-04 14:05:23,docs conf.py updated,ea71ae18af892f9901e4b4374b9d5462c99c692b,,"api.github.com,git_clone","[u'[""docs/conf.py""]']",False,[],[],[],[],2014-07-04
799,pull_request_commit,24.0,aio-libs,aioredis,jettify,2014-07-04 21:42:59,"blpop, brpop, brpoplpush, lindex commands",2716f9ad65ed2d653aea571de72df10637af94b7,,api.github.com,,False,[],[],[],[],2014-07-04
