"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","452","idan","oauthlib","thedrow","2016-12-06 12:09:56","Fixes #432.","start issue","Remove support for Python 2.6 and 3.2-3.3"
"issue_closed","452","idan","oauthlib","thedrow","2016-12-06 13:23:36","","closed issue","Remove support for Python 2.6 and 3.2-3.3"
"pull_request_title","452","idan","oauthlib","thedrow","2016-12-06 12:09:56","Fixes #432.","8449a81cc4aec60b5a07c9bc3666bf3ee491278f","Remove support for Python 2.6 and 3.2-3.3"
"pull_request_merged","452","idan","oauthlib","thedrow","2016-12-06 13:23:36","Remove support for Python 2.6 and 3.2-3.3","f0bbc526065ff88eaa431163d8d7c1f72694221b","Pull request merge from idan/oauthlib:drop-old-python-versions to idan/oauthlib:master"
"pull_request_commit","452","idan","oauthlib","thedrow","2016-12-06 12:09:46","Remove support for Python 2.6 and 3.2-3.3. Fixes #432.","373c3eed55bf4125d2442c791265c967820511a5",""
"pull_request_commit","452","idan","oauthlib","thedrow","2016-12-06 12:10:57","Drop obsolete Python versions.","cb69a9b3e2ce944fa17f14b232a5d285fcac42d5",""
"pull_request_commit","452","idan","oauthlib","thedrow","2016-12-06 12:11:17","Remove requirements for Python 3.2.","d4bde78921059fc29a0cfd9c9af69494a9eec587",""
"pull_request_commit","452","idan","oauthlib","thedrow","2016-12-06 12:13:18","Update classifiers.","91152df142bdde134d84ed27963cda8e6b878416",""
"pull_request_commit","452","idan","oauthlib","thedrow","2016-12-06 12:17:20","Update CHANGELOG.rst","69302c8c5c91a2398863484e480bc57fad83d459",""
"pull_request_commit","452","idan","oauthlib","thedrow","2016-12-06 12:27:04","Update .travis.yml","8449a81cc4aec60b5a07c9bc3666bf3ee491278f",""
