"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1119","nilearn","nilearn","AlexandreAbraham","2016-06-10 07:19:01","First attempt to solve #1116.
","start issue","Add function clean_img"
"issue_closed","1119","nilearn","nilearn","GaelVaroquaux","2016-06-10 13:00:53","","closed issue","Add function clean_img"
"pull_request_title","1119","nilearn","nilearn","AlexandreAbraham","2016-06-10 07:19:01","First attempt to solve #1116.
","47e9010c467b5e80e190eb07a5e93a73630f008e","Add function clean_img"
"pull_request_merged","1119","nilearn","nilearn","GaelVaroquaux","2016-06-10 13:00:53","Add function clean_img","86d3eb88a96b31ec069e7d511132c1c848cb3652","Pull request merge from AlexandreAbraham/nilearn:img_functions to nilearn/nilearn:master"
"issue_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:53:37","LGTM apart from some minor details.
","",""
"issue_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:55:09","Also, doc/whats_new and version added
","",""
"pull_request_commit_comment","1119","nilearn","nilearn","GaelVaroquaux","2016-06-10 10:46:13","I would remove from this signature ""atleast_4d"" and ""ensure_ndim"", and move one step forward ""wildcards"" which is more important to the end use than the control on the dtype.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/image/image.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","GaelVaroquaux","2016-06-10 10:47:05","This note is relevant to nilearn developers, but not to end users, I would remove it.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/image/image.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","GaelVaroquaux","2016-06-10 10:47:53","Nitpick: orthodox pep8 would like you to align this line with the opening parenthesis above.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","GaelVaroquaux","2016-06-10 10:48:42","Shouldn't this function be in nilearn.image? This is where I would look for it.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","GaelVaroquaux","2016-06-10 10:51:53","You should create a local rng, and not sample from the global one, using something like:

rng = np.random.RandomState(0)
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/tests/test_signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:20:22","I would say Nifti-like, parameter implies the same.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/image/image.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:22:15","missing doc, ensure_ndim if it is not going to removed
","47e9010c467b5e80e190eb07a5e93a73630f008e","(103, '', u'nilearn/image/image.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","GaelVaroquaux","2016-06-10 11:22:42","> I would say Nifti-like, parameter implies the same.

I am not sure that I agree. Niimg-like comes with a specific definition
in the nilearn context.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/image/image.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:24:52","I saw a lot documentation describing like this.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/image/image.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:33:34","A bit explicit may be dtype -> data-type ?
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/image/image.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:35:05","bool ?
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/image/image.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:36:07","May be `nilearn.image.clean_img` if this tends to be in nilearn.image
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:36:46","avoid
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:41:25","parameter is named as niimg, above.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:42:54","filtered -> cleaned ?
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:47:14","optional, missing
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:49:13","Are we not expect to return image here ?
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
"pull_request_commit_comment","1119","nilearn","nilearn","KamalakerDadi","2016-06-10 11:51:11","Minor detail: it would be nice if doc too follows the same order as described above.
","47e9010c467b5e80e190eb07a5e93a73630f008e","(None, '', u'nilearn/signal.py')"
