,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,issue_title,123,aio-libs,aioredis,shicky,2016-05-13 04:40:55,"For my application, I have redis queue class that wraps around rpush/lpop.
Is it possible to include in util.py?
",start issue,Redis queue class based on rpush/lpop
1,issue_closed,123,aio-libs,aioredis,popravich,2016-06-02 07:59:08,,closed issue,Redis queue class based on rpush/lpop
2,issue_comment,123,aio-libs,aioredis,ushuz,2016-05-13 07:17:18,"`aioredis` is a general purpose Redis driver / connector, while queue is a specific purpose application. Queue is not what a driver needs to do its job, so I think it shouldn't be included in `aioredis`.
",,
3,issue_comment,123,aio-libs,aioredis,shicky,2016-05-16 01:31:03,"Perhaps you are right.
But I still think it is common use-case for Redis and wouldn't hurt to be included.
",,
4,issue_comment,123,aio-libs,aioredis,popravich,2016-05-25 15:05:56,"Hi guys,
I agree with ushuz that such `Queue` should not be included in `aioredis`,
because its hard to satisfy everybodys needs: someone may want Queue based on lists
someone may want it based on sorted sets, someone may want it to be built with some other concept.

Anyway, you can publish you Queue implementation on pypi and give me a link to be included in docs.
I think it would be really helpful for lib users to see a list with such extensions.
",,
5,issue_comment,123,aio-libs,aioredis,popravich,2016-05-25 15:08:31,"As for PR, it has some inconsistencies and may not work as expected, if you want I can comment what is wrong.
",,
6,issue_comment,123,aio-libs,aioredis,shicky,2016-05-29 05:46:30,"Thank you Alexey.
Could you please provide some feedback on current implementation?
",,
0,issue_title,125,aio-libs,aioredis,shicky,2016-05-13 06:13:21,"## What these changes does?
- Add Queue class that wraps around LPOP, BLPOP, RPUSH, LLEN
## How to test your changes?

[https://github.com/shicky/aioredis/blob/redis_queue/tests/queue_test.py](https://github.com/shicky/aioredis/blob/redis_queue/tests/queue_test.py)
## Related issue number
#123
## Checklist
- [ O ] Code is written and well
- [ O ] Tests for the changes are provided
- [ X ] Documentation reflects the changes
",start issue,"redis queue implementation (LPOP, BLPOP, RPUSH, LLEN)"
1,issue_closed,125,aio-libs,aioredis,popravich,2016-06-02 07:58:57,,closed issue,"redis queue implementation (LPOP, BLPOP, RPUSH, LLEN)"
2,pull_request_title,125,aio-libs,aioredis,shicky,2016-05-13 06:13:21,"## What these changes does?
- Add Queue class that wraps around LPOP, BLPOP, RPUSH, LLEN
## How to test your changes?

[https://github.com/shicky/aioredis/blob/redis_queue/tests/queue_test.py](https://github.com/shicky/aioredis/blob/redis_queue/tests/queue_test.py)
## Related issue number
#123
## Checklist
- [ O ] Code is written and well
- [ O ] Tests for the changes are provided
- [ X ] Documentation reflects the changes
",f61321eaff770e1520c317df750750eed3307bda,"redis queue implementation (LPOP, BLPOP, RPUSH, LLEN)"
